TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,GAME_ROWS,AVG_GAME_MARGIN,AVG_TEAM_SCORE,AVG_OPP_SCORE
84,Indiana Hoosiers,Big Ten Conference,0.5625,6,32,6.000000,78.156250,72.156250
2026,App State Mountaineers,Sun Belt Conference,0.59375,5.9,32,5.968750,72.031250,66.062500
2458,Northern Colorado Bears,Big Sky Conference,0.625,6,32,5.968750,82.500000,76.531250
2634,Tennessee State Tigers,Ohio Valley Conference,0.6969697,5.9,33,5.939394,80.333333,74.393939
222,Villanova Wildcats,Big East Conference,0.72727275,5.9,33,5.878788,77.121212,71.242424
2368,Marist Red Foxes,Metro Atlantic Athletic Conference,0.61290324,5.9,31,5.838710,69.677419,63.838710
2032,Arkansas State Red Wolves,Sun Belt Conference,0.625,5.8,32,5.750000,82.968750,77.218750
94,Northern Kentucky Norse,Horizon League,0.5882353,5.6,34,5.676471,83.147059,77.470588
2132,Cincinnati Bearcats,Big 12 Conference,0.54545456,5.5,33,5.545455,73.121212,67.575758
231,Furman Paladins,Southern Conference,0.62857145,5.5,35,5.485714,76.314286,70.828571
2244,George Mason Patriots,Atlantic 10 Conference,0.6969697,5.5,33,5.484848,73.272727,67.787879
201,Oklahoma Sooners,Southeastern Conference,0.5675676,5.5,37,5.459459,82.891892,77.432432
5,UAB Blazers,American Conference,0.625,5.4,32,5.437500,79.218750,73.781250
2729,William & Mary Tribe,Coastal Athletic Association,0.625,5.4,32,5.406250,83.125000,77.718750
28,UC San Diego Tritons,Big West Conference,0.6764706,5.4,34,5.382353,75.676471,70.294118
2523,Robert Morris Colonials,Horizon League,0.6666667,5.3,33,5.333333,77.424242,72.090909
2628,TCU Horned Frogs,Big 12 Conference,0.6571429,5.3,35,5.285714,77.371429,72.085714
239,Baylor Bears,Big 12 Conference,0.5,5.3,34,5.264706,81.705882,76.441176
172,Cornell Big Red,Ivy League,0.53571427,5.1,28,5.071429,88.464286,83.392857
2856,California Baptist Lancers,Western Athletic Conference,0.7352941,5,34,5.058824,72.647059,67.588235
70,Idaho Vandals,Big Sky Conference,0.5833333,5.1,36,5.055556,77.777778,72.722222
2550,Seton Hall Pirates,Big East Conference,0.6363636,5.1,33,5.000000,70.333333,65.333333
171,Columbia Lions,Ivy League,0.5714286,4.9,28,4.964286,76.642857,71.678571
2754,Youngstown State Penguins,Horizon League,0.46875,4.9,32,4.906250,77.968750,73.062500
2547,Seattle U Redhawks,West Coast Conference,0.6,4.8,35,4.885714,72.142857,67.257143
277,West Virginia Mountaineers,Big 12 Conference,0.6,4.9,35,4.885714,70.628571,65.742857
261,Vermont Catamounts,America East Conference,0.64705884,4.9,34,4.882353,73.411765,68.529412
82,UIC Flames,Missouri Valley Conference,0.54285717,4.9,35,4.857143,75.428571,70.571429
25,California Golden Bears,Atlantic Coast Conference,0.64705884,4.9,34,4.852941,78.176471,73.323529
2348,Louisiana Tech Bulldogs,Conference USA,0.5882353,4.9,34,4.852941,69.852941,65.000000
2540,UC Santa Barbara Gauchos,Big West Conference,0.5625,4.8,32,4.843750,77.593750,72.750000
2168,Dayton Flyers,Atlantic 10 Conference,0.6756757,4.8,37,4.837838,74.135135,69.297297
357,Texas A&M-Corpus Christi Islanders,Southland Conference,0.54545456,4.8,33,4.818182,72.515152,67.696970
68,Boise State Broncos,Mountain West Conference,0.625,4.7,32,4.718750,78.187500,73.468750
2309,Kent State Golden Flashes,Mid-American Conference,0.7058824,4.7,34,4.676471,84.294118,79.617647
36,Colorado State Rams,Mountain West Conference,0.61764705,4.6,34,4.647059,75.705882,71.058824
2561,Siena Saints,Metro Atlantic Athletic Conference,0.6571429,4.6,35,4.542857,70.371429,65.828571
2440,Nevada Wolf Pack,Mountain West Conference,0.6486486,4.5,37,4.486486,76.027027,71.540541
2649,Toledo Rockets,Mid-American Conference,0.5588235,4.4,34,4.470588,81.029412,76.558824
2230,Fordham Rams,Atlantic 10 Conference,0.53125,4.3,32,4.375000,69.843750,65.468750
2226,Florida Atlantic Owls,American Conference,0.54545456,4.4,33,4.333333,78.666667,74.333333
6,South Alabama Jaguars,Sun Belt Conference,0.6363636,4.3,33,4.303030,74.363636,70.060606
55,Jacksonville State Gamecocks,Conference USA,0.46875,4.3,32,4.281250,72.656250,68.375000
2,Auburn Tigers,Southeastern Conference,0.57894737,4.2,38,4.236842,83.000000,78.763158
2166,Davidson Wildcats,Atlantic 10 Conference,0.5882353,4.1,34,4.058824,71.970588,67.911765
288,Lipscomb Bisons,ASUN Conference,0.59375,4,32,3.937500,79.656250,75.718750
2546,Southeast Missouri State Redhawks,Ohio Valley Conference,0.6060606,3.9,33,3.909091,74.545455,70.636364
259,Virginia Tech Hokies,Atlantic Coast Conference,0.59375,3.9,32,3.906250,78.781250,74.875000
2751,Wyoming Cowboys,Mountain West Conference,0.54545456,3.9,33,3.878788,76.878788,73.000000
