TEAM_ID,TEAM_NAME,CONFERENCE,WINS,LOSSES,WIN_PCT,POINT_DIFF,POINT_DIFF_RANK
2351,Loyola Marymount Lions,West Coast Conference,15,17,0.46875,2.2,171
2771,Merrimack Warriors,Metro Atlantic Athletic Conference,23,11,0.6764706,2,172
232,Charleston Cougars,Coastal Athletic Association,21,11,0.65625,2,172
2385,Mercyhurst Lakers,Northeast Conference,17,17,0.5,2,172
179,St. Bonaventure Bonnies,Atlantic 10 Conference,17,17,0.5,1.9,175
2086,Butler Bulldogs,Big East Conference,16,16,0.5,1.9,175
3101,Utah Tech Trailblazers,Western Athletic Conference,19,15,0.5588235,1.9,177
112358,Long Island University Sharks,Northeast Conference,24,11,0.6857143,1.9,177
154,Wake Forest Demon Deacons,Atlantic Coast Conference,18,17,0.51428574,1.9,177
2142,Colgate Raiders,Patriot League,18,15,0.54545456,1.8,180
2084,Buffalo Bulls,Mid-American Conference,17,15,0.53125,1.8,181
2405,Monmouth Hawks,Coastal Athletic Association,19,15,0.5588235,1.8,181
2747,Wofford Terriers,Southern Conference,19,13,0.59375,1.7,183
227,Rhode Island Rams,Atlantic 10 Conference,16,16,0.5,1.7,183
2582,Southern Jaguars,Southwestern Athletic Conference,17,17,0.5,1.7,185
2463,Cal State Northridge Matadors,Big West Conference,20,14,0.5882353,1.6,186
104,Boston University Terriers,Patriot League,17,17,0.5,1.6,187
2539,San Francisco Dons,West Coast Conference,17,16,0.5151515,1.5,188
2097,Campbell Fighting Camels,Coastal Athletic Association,16,18,0.47058824,1.5,188
219,Pennsylvania Quakers,Ivy League,18,12,0.6,1.5,188
236,Chattanooga Mocs,Southern Conference,13,19,0.40625,1.4,191
2623,Missouri State Bears,Conference USA,16,18,0.47058824,1.4,191
2504,Prairie View A&M Panthers,Southwestern Athletic Conference,19,18,0.5135135,1.4,191
2507,Providence Friars,Big East Conference,15,18,0.45454547,1.3,194
2239,Cal State Fullerton Titans,Big West Conference,18,16,0.5294118,1.3,194
290,Georgia Southern Eagles,Sun Belt Conference,21,16,0.5675676,1.2,196
2717,Western Carolina Catamounts,Southern Conference,15,16,0.48387095,1.2,196
77,Northwestern Wildcats,Big Ten Conference,15,19,0.44117647,1.1,198
2627,Tarleton State Texans,Western Athletic Conference,14,18,0.4375,1.1,198
526,Florida Gulf Coast Eagles,ASUN Conference,16,18,0.47058824,1,200
2870,Purdue Fort Wayne Mastodons,Horizon League,17,15,0.53125,1,200
135,Minnesota Golden Gophers,Big Ten Conference,15,18,0.45454547,0.9,202
2473,Oakland Golden Grizzlies,Horizon League,16,16,0.5,0.9,203
2320,Lamar Cardinals,Southland Conference,12,19,0.38709676,0.8,204
2572,Southern Miss Golden Eagles,Sun Belt Conference,19,16,0.54285717,0.8,205
2182,Drexel Dragons,Coastal Athletic Association,17,16,0.5151515,0.8,205
256,James Madison Dukes,Sun Belt Conference,18,15,0.54545456,0.7,207
324,Coastal Carolina Chanticleers,Sun Belt Conference,19,13,0.59375,0.7,207
314,Iona Gaels,Metro Atlantic Athletic Conference,18,14,0.5625,0.7,207
197,Oklahoma State Cowboys,Big 12 Conference,20,15,0.5714286,0.7,207
183,Syracuse Orange,Atlantic Coast Conference,15,17,0.46875,0.7,207
305,DePaul Blue Demons,Big East Conference,16,16,0.5,0.7,207
46,Georgetown Hoyas,Big East Conference,16,18,0.47058824,0.7,213
30,USC Trojans,Big Ten Conference,18,14,0.5625,0.7,213
2439,UNLV Rebels,Mountain West Conference,18,17,0.51428574,0.6,215
2413,Morehead State Eagles,Ohio Valley Conference,20,13,0.6060606,0.6,216
2916,Incarnate Word Cardinals,Southland Conference,12,19,0.38709676,0.6,216
2908,South Carolina Upstate Spartans,Big South Conference,13,19,0.40625,0.6,216
2619,Stony Brook Seawolves,Coastal Athletic Association,17,15,0.53125,0.5,219
2427,UNC Asheville Bulldogs,Big South Conference,15,17,0.46875,0.5,219
2674,Valparaiso Beacons,Missouri Valley Conference,18,15,0.54545456,0.5,219
38,Colorado Buffaloes,Big 12 Conference,17,16,0.5151515,0.4,222
225,Brown Bears,Ivy League,9,18,0.33333334,0.3,223
2181,Drake Bulldogs,Missouri Valley Conference,14,20,0.4117647,0.3,224
2755,Grambling Tigers,Southwestern Athletic Conference,14,19,0.42424244,0.2,225
2506,Presbyterian Blue Hose,Big South Conference,15,18,0.45454547,0.2,225
2210,Elon Phoenix,Coastal Athletic Association,14,18,0.4375,0.2,227
2172,Denver Pioneers,Summit League,15,17,0.46875,0,228
2739,Green Bay Phoenix,Horizon League,18,15,0.54545456,0,228
156,Creighton Bluejays,Big East Conference,16,18,0.47058824,0,228
278,Fresno State Bulldogs,Mountain West Conference,13,19,0.40625,0,228
2174,Detroit Mercy Titans,Horizon League,17,15,0.53125,-0.1,232
145,Ole Miss Rebels,Southeastern Conference,15,20,0.42857143,-0.2,233
2330,Le Moyne Dolphins,Northeast Conference,15,17,0.46875,-0.2,234
294,Jacksonville Dolphins,ASUN Conference,12,20,0.375,-0.3,235
2681,Wagner Seahawks,Northeast Conference,14,17,0.4516129,-0.4,236
2437,Omaha Mavericks,Summit League,16,17,0.4848485,-0.4,237
2010,Alabama A&M Bulldogs,Southwestern Athletic Conference,18,15,0.54545456,-0.4,237
242,Rice Owls,American Conference,13,18,0.41935483,-0.6,239
269,Marquette Golden Eagles,Big East Conference,12,20,0.375,-0.6,239
233,South Dakota Coyotes,Summit League,16,16,0.5,-0.6,241
195,Ohio Bobcats,Mid-American Conference,15,17,0.46875,-0.7,242
155,North Dakota Fighting Hawks,Summit League,18,17,0.51428574,-0.7,243
87,Notre Dame Fighting Irish,Atlantic Coast Conference,13,18,0.41935483,-0.8,244
2261,Hampton Pirates,Coastal Athletic Association,13,19,0.40625,-0.9,245
282,Indiana State Sycamores,Missouri Valley Conference,11,21,0.34375,-0.9,246
159,Dartmouth Big Green,Ivy League,11,16,0.4074074,-0.9,246
399,UAlbany Great Danes,America East Conference,11,21,0.34375,-0.9,246
331,Eastern Washington Eagles,Big Sky Conference,14,19,0.42424244,-0.9,246
2329,Lehigh Mountain Hawks,Patriot League,18,17,0.51428574,-1.1,250
2429,Charlotte 49ers,American Conference,17,17,0.5,-1.1,251
2635,Tennessee Tech Golden Eagles,Ohio Valley Conference,13,18,0.41935483,-1.2,252
221,Pittsburgh Panthers,Atlantic Coast Conference,13,20,0.3939394,-1.3,253
2349,UMass Lowell River Hawks,America East Conference,15,18,0.45454547,-1.4,254
2529,Sacred Heart Pioneers,Metro Atlantic Athletic Conference,14,19,0.42424244,-1.4,254
2441,New Haven Chargers,Northeast Conference,14,17,0.4516129,-1.4,254
265,Washington State Cougars,West Coast Conference,12,20,0.375,-1.4,257
2198,Eastern Kentucky Colonels,ASUN Conference,11,21,0.34375,-1.5,258
2065,Bethune-Cookman Wildcats,Southwestern Athletic Conference,17,15,0.53125,-1.5,258
235,Memphis Tigers,American Conference,13,19,0.40625,-1.5,258
2579,South Carolina Gamecocks,Southeastern Conference,13,19,0.40625,-1.6,261
295,Old Dominion Monarchs,Sun Belt Conference,12,21,0.36363637,-1.7,262
91,Bellarmine Knights,ASUN Conference,13,19,0.40625,-1.7,262
304,Idaho State Bengals,Big Sky Conference,13,20,0.3939394,-1.7,262
2352,Loyola Maryland Greyhounds,Patriot League,12,20,0.375,-1.9,265
2430,UNC Greensboro Spartans,Southern Conference,15,19,0.44117647,-1.9,266
2050,Ball State Cardinals,Mid-American Conference,12,19,0.38709676,-2,267
116,Mount St. Mary's Mountaineers,Metro Atlantic Athletic Conference,15,17,0.46875,-2,267
9,Arizona State Sun Devils,Big 12 Conference,17,16,0.5151515,-2,267
2000,Abilene Christian Wildcats,Western Athletic Conference,14,19,0.42424244,-2.1,270
284,Stonehill Skyhawks,Northeast Conference,12,21,0.36363637,-2.2,271
2752,Xavier Musketeers,Big East Conference,15,18,0.45454547,-2.2,271
2306,Kansas State Wildcats,Big 12 Conference,12,20,0.375,-2.2,273
2447,Nicholls Colonels,Southland Conference,14,19,0.42424244,-2.5,274
2448,North Carolina A&T Aggies,Coastal Athletic Association,11,19,0.36666667,-2.7,275
2199,Eastern Michigan Eagles,Mid-American Conference,10,21,0.32258064,-2.8,276
299,Long Beach State Beach,Big West Conference,10,22,0.3125,-2.9,277
2415,Morgan State Bears,Mid-Eastern Athletic Conference,14,16,0.46666667,-2.9,278
13,Cal Poly Mustangs,Big West Conference,14,19,0.42424244,-2.9,278
161,Fairleigh Dickinson Knights,Northeast Conference,11,21,0.34375,-3,280
2698,West Georgia Wolves,ASUN Conference,15,17,0.46875,-3,280
2640,Texas Southern Tigers,Southwestern Athletic Conference,12,18,0.4,-3,280
2655,Tulane Green Wave,American Conference,18,15,0.54545456,-3.1,283
204,Oregon State Beavers,West Coast Conference,17,16,0.5151515,-3.1,284
2638,UTEP Miners,Conference USA,11,20,0.3548387,-3.1,284
2483,Oregon Ducks,Big Ten Conference,12,20,0.375,-3.1,284
253,Southern Utah Thunderbirds,Western Athletic Conference,10,22,0.3125,-3.2,287
2197,Eastern Illinois Panthers,Ohio Valley Conference,13,20,0.3939394,-3.2,287
2443,New Orleans Privateers,Southland Conference,15,18,0.45454547,-3.2,287
103,Boston College Eagles,Atlantic Coast Conference,11,20,0.3548387,-3.3,290
270,Milwaukee Panthers,Horizon League,12,20,0.375,-3.3,290
301,San Diego Toreros,West Coast Conference,12,21,0.36363637,-3.4,292
163,Princeton Tigers,Ivy League,9,20,0.31034482,-3.4,292
2117,Central Michigan Chippewas,Mid-American Conference,10,21,0.32258064,-3.5,294
2031,Little Rock Trojans,Ohio Valley Conference,12,20,0.375,-3.6,295
59,Georgia Tech Yellow Jackets,Atlantic Coast Conference,11,20,0.3548387,-3.6,296
2428,North Carolina Central Eagles,Mid-Eastern Athletic Conference,14,18,0.4375,-3.7,297
2029,Arkansas-Pine Bluff Golden Lions,Southwestern Athletic Conference,13,19,0.40625,-3.7,297
2011,Alabama State Hornets,Southwestern Athletic Conference,10,22,0.3125,-4.1,299
2501,Portland Pilots,West Coast Conference,15,19,0.44117647,-4.1,299
2466,Northwestern State Demons,Southland Conference,10,22,0.3125,-4.1,301
50,Florida A&M Rattlers,Southwestern Athletic Conference,15,16,0.48387095,-4.2,302
198,Oral Roberts Golden Eagles,Summit League,10,23,0.3030303,-4.2,303
344,Mississippi State Bulldogs,Southeastern Conference,13,19,0.40625,-4.2,303
2247,Georgia State Panthers,Sun Belt Conference,10,22,0.3125,-4.3,305
16,Sacramento State Hornets,Big Sky Conference,10,21,0.32258064,-4.3,305
2837,East Texas A&M Lions,Southland Conference,11,21,0.34375,-4.3,305
2711,Western Michigan Broncos,Mid-American Conference,10,21,0.32258064,-4.7,308
164,Rutgers Scarlet Knights,Big Ten Conference,14,20,0.4117647,-4.8,309
85,IU Indianapolis Jaguars,Horizon League,7,25,0.21875,-4.8,309
254,Utah Utes,Big 12 Conference,10,22,0.3125,-4.8,309
