TEAM_ID,TEAM_NAME,CONFERENCE,POINT_DIFF,WIN_PCT
2771,Merrimack Warriors,Metro Atlantic Athletic Conference,2,0.6764706
232,Charleston Cougars,Coastal Athletic Association,2,0.65625
2385,Mercyhurst Lakers,Northeast Conference,2,0.5
179,St. Bonaventure Bonnies,Atlantic 10 Conference,1.9,0.5
2086,Butler Bulldogs,Big East Conference,1.9,0.5
154,Wake Forest Demon Deacons,Atlantic Coast Conference,1.9,0.51428574
3101,Utah Tech Trailblazers,Western Athletic Conference,1.9,0.5588235
112358,Long Island University Sharks,Northeast Conference,1.9,0.6857143
2142,Colgate Raiders,Patriot League,1.8,0.54545456
2405,Monmouth Hawks,Coastal Athletic Association,1.8,0.5588235
2084,Buffalo Bulls,Mid-American Conference,1.8,0.53125
2747,Wofford Terriers,Southern Conference,1.7,0.59375
227,Rhode Island Rams,Atlantic 10 Conference,1.7,0.5
2582,Southern Jaguars,Southwestern Athletic Conference,1.7,0.5
