TEAM_ID,TEAM_NAME,CONFERENCE,POINT_DIFF,WIN_PCT,POINT_DIFF_QUARTILE
2,Auburn Tigers,Southeastern Conference,4.2,0.57894737,2
2166,Davidson Wildcats,Atlantic 10 Conference,4.1,0.5882353,2
288,Lipscomb Bisons,ASUN Conference,4,0.59375,2
2546,Southeast Missouri State Redhawks,Ohio Valley Conference,3.9,0.6060606,2
2751,Wyoming Cowboys,Mountain West Conference,3.9,0.54545456,2
2692,Weber State Wildcats,Big Sky Conference,3.9,0.5,2
279,Pacific Tigers,West Coast Conference,3.9,0.54545456,2
259,Virginia Tech Hokies,Atlantic Coast Conference,3.9,0.59375,2
142,Missouri Tigers,Southeastern Conference,3.7,0.6060606,2
2344,Longwood Lancers,Big South Conference,3.6,0.5,2
2535,Samford Bulldogs,Southern Conference,3.6,0.5625,2
71,Bradley Braves,Missouri Valley Conference,3.6,0.61764705,2
249,North Texas Mean Green,American Conference,3.5,0.57575756,2
264,Washington Huskies,Big Ten Conference,3.5,0.4848485,2
79,Southern Illinois Salukis,Missouri Valley Conference,3.4,0.5,2
108,Harvard Crimson,Ivy League,3.4,0.5862069,2
2127,Charleston Southern Buccaneers,Big South Conference,3.3,0.46875,2
44,American University Eagles,Patriot League,3.3,0.5,2
250,UT Arlington Mavericks,Western Athletic Conference,3.3,0.5625,2
2514,Quinnipiac Bobcats,Metro Atlantic Athletic Conference,3.3,0.59375,2
98,Western Kentucky Hilltoppers,Conference USA,3.2,0.5625,2
119,Towson Tigers,Coastal Athletic Association,3.1,0.5588235,2
218,Temple Owls,American Conference,3.1,0.5,2
276,Marshall Thundering Herd,Sun Belt Conference,3.1,0.59375,2
2184,Duquesne Dukes,Atlantic 10 Conference,3.1,0.54545456,2
166,New Mexico State Aggies,Conference USA,3.1,0.5,2
24,Stanford Cardinal,Atlantic Coast Conference,3,0.6060606,2
326,Texas State Bobcats,Sun Belt Conference,2.9,0.59375,2
2217,Fairfield Stags,Metro Atlantic Athletic Conference,2.9,0.61764705,2
99,LSU Tigers,Southeastern Conference,2.9,0.46875,2
2115,Central Connecticut Blue Devils,Northeast Conference,2.9,0.6,2
2603,Saint Joseph's Hawks,Atlantic 10 Conference,2.8,0.6666667,2
257,Richmond Spiders,Atlantic 10 Conference,2.8,0.46875,2
93,Murray State Racers,Missouri Valley Conference,2.8,0.6060606,2
149,Montana Grizzlies,Big Sky Conference,2.7,0.5294118,2
2229,Florida International Panthers,Conference USA,2.7,0.46875,2
113,Massachusetts Minutemen,Mid-American Conference,2.6,0.5151515,2
2571,South Dakota State Jackrabbits,Summit League,2.6,0.4375,2
2450,Norfolk State Spartans,Mid-Eastern Athletic Conference,2.6,0.46875,2
2515,Radford Highlanders,Big South Conference,2.6,0.5,2
2393,Middle Tennessee Blue Raiders,Conference USA,2.6,0.53125,2
302,UC Davis Aggies,Big West Conference,2.5,0.57575756,2
52,Florida State Seminoles,Atlantic Coast Conference,2.5,0.54545456,2
2612,Saint Peter's Peacocks,Metro Atlantic Athletic Conference,2.4,0.5862069,2
2116,UCF Knights,Big 12 Conference,2.3,0.6363636,2
2351,Loyola Marymount Lions,West Coast Conference,2.2,0.46875,2
2771,Merrimack Warriors,Metro Atlantic Athletic Conference,2,0.6764706,2
232,Charleston Cougars,Coastal Athletic Association,2,0.65625,2
